acquisitionInformation.acquisitionParameters.acquisitionSystemName	acquisitionInformation.acquisitionParameters.acquisitionSystemType	acquisitionInformation.acquisitionParameters.antennaToSource_inMeters	acquisitionInformation.acquisitionParameters.cableLength_inMeters	acquisitionInformation.acquisitionParameters.cableReceiverDepthRecorded	acquisitionInformation.acquisitionParameters.cableReceiverDepth_inMeters	acquisitionInformation.acquisitionParameters.channelLength_inMeters	acquisitionInformation.acquisitionParameters.compassBirds	acquisitionInformation.acquisitionParameters.nearChannelNumber	acquisitionInformation.acquisitionParameters.numberOfCables	acquisitionInformation.acquisitionParameters.numberOfChannelsEachCable	acquisitionInformation.acquisitionParameters.numberOfChannelsRecorded	acquisitionInformation.acquisitionParameters.receiverType	acquisitionInformation.acquisitionParameters.recordLength_inSeconds	acquisitionInformation.acquisitionParameters.sampleInterval_inMicroseconds	acquisitionInformation.acquisitionParameters.seismicNavSystem	acquisitionInformation.acquisitionParameters.shotControl	acquisitionInformation.acquisitionParameters.shotInterval_inSecondsOrMeters	acquisitionInformation.acquisitionParameters.sourceArraySeparation_inMeters	acquisitionInformation.acquisitionParameters.sourceDepth_inMeters	acquisitionInformation.acquisitionParameters.sourceNumber	acquisitionInformation.acquisitionParameters.sourcePressure_inBars	acquisitionInformation.acquisitionParameters.sourceToNearChannel_inMeters	acquisitionInformation.acquisitionParameters.sourceType	acquisitionInformation.acquisitionParameters.sourceVolume	acquisitionInformation.acquisitionParameters.sourceVolumeUnits	acquisitionInformation.acquisitionParameters.tailBuoyPositioning	acquisitionInformation.platformInformation.platform	acquisitionInformation.platformInformation.platformOrganization	acquisitionInformation.seismicNavFile.dataFileFormat	acquisitionInformation.seismicNavFile.offsetsApplied	acquisitionInformation.seismicNavFile.surveyDatum	datasetInformation.boundingCoordinates.eastLong	datasetInformation.boundingCoordinates.northLat	datasetInformation.boundingCoordinates.southLat	datasetInformation.boundingCoordinates.westLong	datasetInformation.dataClass	datasetInformation.dataContact.contactInformation.email	datasetInformation.dataContact.contactInformation.name	datasetInformation.dataContact.contactInformation.organization	datasetInformation.dataContact.contactInformation.role	datasetInformation.dataMedia	datasetInformation.dataType	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.email	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.name	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.organization	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.role	datasetInformation.datasetAccessControl.accessControl.accessReleaseDate	datasetInformation.datasetAccessControl.accessControl.accessState	datasetInformation.datasetContentLink	datasetInformation.datasetDescription	datasetInformation.datasetID	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.email	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.name	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.organization	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.role	datasetInformation.datasetProcessing.processingParameters.processingScope	datasetInformation.datasetProcessing.processingParameters.processingStep	datasetInformation.datasetProcessing.processingParameters.processingStepDate	datasetInformation.datasetQualityDescription	datasetInformation.datasetSize	datasetInformation.datasetStartDate.date	datasetInformation.datasetStartDate.dateTypeCode	datasetInformation.datasetTitle	datasetInformation.datasetZipLink	datasetInformation.documentation.citationInformation.author	datasetInformation.documentation.citationInformation.citationDate.date	datasetInformation.documentation.citationInformation.citationDate.dateTypeCode	datasetInformation.documentation.citationInformation.doi	datasetInformation.documentation.citationInformation.journalName	datasetInformation.documentation.citationInformation.onlineLinkage	datasetInformation.documentation.citationInformation.page	datasetInformation.documentation.citationInformation.title	datasetInformation.documentation.citationInformation.volume	datasetInformation.geographicFeatures.featureName	datasetInformation.processedDataClass	datasetInformation.processedMethod	datasetInformation.purpose	datasetInformation.resourceProvider.contactInformation.email	datasetInformation.resourceProvider.contactInformation.name	datasetInformation.resourceProvider.contactInformation.organization	datasetInformation.resourceProvider.contactInformation.role	datasetInformation.seismicDataProvenance	datasetInformation.supplementalInformation	datasetInformation.temporalExtent.endDate	datasetInformation.temporalExtent.startDate	metadataInformation.dateOfSubmission	metadataInformation.metadataContact.contactInformation.email	metadataInformation.metadataContact.contactInformation.name	metadataInformation.metadataContact.contactInformation.organization	metadataInformation.metadataContact.contactInformation.role	metadataInformation.metadataDate	metadataInformation.metadataStandard
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	no	NAD27	-89.89372	28.74624	27.84015	-93.34868	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	2017-03-17	open	https://walrus.wr.usgs.gov/namss/survey/b-25-92-la/dataset/	These data were acquired by BOEM (formerly MMS and USGS). Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-25-92-LA.mcs.airgun.zip					dataset	Unspecified		Unspecified	3.6 GB	1992-01-01	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/1992/namss.B-25-92-LA.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS). The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1992-01-01	1992-01-01	2017-04-11	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	no	NAD27	-89.90614	28.73457	27.82737	-93.08224	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	2017-03-17	open	https://walrus.wr.usgs.gov/namss/survey/b-25a-92-la/dataset/	These data were acquired by BOEM (formerly MMS and USGS). Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-25a-92-LA.mcs.airgun.zip					dataset	Unspecified		Unspecified	3.4 GB	1992-01-01	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/1992/namss.B-25a-92-LA.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS). The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1992-01-01	1992-01-01	2017-04-11	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	no	NAD27	-87.83610	29.32502	27.75445	-90.11937	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	2017-03-17	open	https://walrus.wr.usgs.gov/namss/survey/b-25b-92-la/dataset/	These data were acquired by BOEM (formerly MMS and USGS). Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-25b-92-LA.mcs.airgun.zip					dataset	Unspecified		Unspecified	1.9 GB	1992-01-01	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/1992/namss.B-25b-92-LA.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS). The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1992-01-01	1992-01-01	2017-04-11	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	no	NAD27	-87.83610	29.32502	27.75445	-90.11937	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	2017-03-17	open	https://walrus.wr.usgs.gov/namss/survey/b-25c-92-la/dataset/	These data were acquired by BOEM (formerly MMS and USGS). Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-25c-92-LA.mcs.airgun.zip					dataset	Unspecified		Unspecified	2.4 GB	1992-01-01	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/1992/namss.B-25c-92-LA.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS). The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1992-01-01	1992-01-01	2017-04-11	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	no	NAD27	-87.96069	29.29950	27.43868	-93.19111	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	2017-03-17	open	https://walrus.wr.usgs.gov/namss/survey/b-25d-92-la/dataset/	These data were acquired by BOEM (formerly MMS and USGS). Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-25d-92-LA.mcs.airgun.zip					dataset	Unspecified		Unspecified	7.3 MB	1992-01-01	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/1992/namss.B-25d-92-LA.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS). The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1992-01-01	1992-01-01	2017-04-12	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	no	NAD27	-87.96069	29.29950	27.43868	-93.19111	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	2017-03-17	open	https://walrus.wr.usgs.gov/namss/survey/b-25e-92-la/dataset/	These data were acquired by BOEM (formerly MMS and USGS). Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-25e-92-LA.mcs.airgun.zip					dataset	Unspecified		Unspecified	32.3 MB	1992-01-01	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/1992/namss.B-25e-92-LA.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS). The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1992-01-01	1992-01-01	2017-04-12	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						N83	no	NAD83	-142.13939	60.09956	59.42842	-146.81468	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	Unspecified	Unspecified	Unspecified	resourceProvider		open	https://walrus.wr.usgs.gov/namss/survey/b-26-75-ak/dataset/	Unspecified	namss.B-26-75-AK.mcs.airgun.zip					dataset	Unspecified		Unspecified	1.5 GB	1975-01-01	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/1975/namss.B-26-75-AK.mcs.airgun.zip										Alaska		Seismic:Reflection		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		1975-01-01	1975-01-01	2016-06-06	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-IV	digital					49.98720						Hydrophone_Streamer	6.00000							7		293.82720	SeismicSource_Gun_Air						SEGP1	undocumented	NAD27	-92.60458	29.16480	29.06299	-92.75568	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2002-01-25	open	https://walrus.wr.usgs.gov/namss/survey/b-26-77-la/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-26-77-LA.mcs.airgun.zip					dataset	Unspecified		Unspecified	19.9 MB	1977-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1977/namss.B-26-77-LA.mcs.airgun.zip										Louisiana	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1977-01-31	1977-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	undocumented	NAD27	-94.56680	28.28310	27.99486	-94.80067	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2003-01-25	open	https://walrus.wr.usgs.gov/namss/survey/b-26-78-tx/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-26-78-TX.mcs.airgun.zip					dataset	Unspecified		Unspecified	7.7 MB	1978-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1978/namss.B-26-78-TX.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1978-01-31	1978-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-IV	digital					49.98720					60	Hydrophone_Streamer	6.00000	2000		Distance	24.99360			8		152.40000	SeismicSource_Gun_Air						SEGP1	undocumented	NAD27	-93.50795	29.09791	27.29613	-96.72823	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2006-01-25	open	https://walrus.wr.usgs.gov/namss/survey/b-26-81-tx/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-26-81-TX.mcs.airgun.zip					dataset	Unspecified		Unspecified	343.7 MB	1981-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1981/namss.B-26-81-TX.mcs.airgun.zip										Texas	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1981-01-31	1981-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-V	digital		8180.83200			67.05600					120	Hydrophone_Streamer	8.00000	2000		Distance	67.05600		1.21920				SeismicSource_Gun_Air	2000.00000	Cubic Inches				SEGP1	undocumented	NAD27	-89.87711	29.32999	28.72990	-91.49022	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2009-07-25	open	https://walrus.wr.usgs.gov/namss/survey/b-26-84-la/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-26-84-LA.mcs.airgun.zip					dataset	Unspecified		Unspecified	94.5 MB	1984-07-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1984/namss.B-26-84-LA.mcs.airgun.zip										Louisiana	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1984-07-31	1984-07-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	undocumented	NAD27	-91.85227	29.65330	28.86779	-93.27586	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2002-01-25	open	https://walrus.wr.usgs.gov/namss/survey/b-27-77-la/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-27-77-LA.mcs.airgun.zip					dataset	Unspecified		Unspecified	50.5 MB	1977-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1977/namss.B-27-77-LA.mcs.airgun.zip										Gulf of Mexico	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1977-01-31	1977-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	undocumented	NAD27	-84.57214	27.09782	25.87802	-86.23871	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2013-01-31	open	https://walrus.wr.usgs.gov/namss/survey/b-27-88-mi/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-27-88-MI.mcs.airgun.zip					dataset	Unspecified		Unspecified	967.3 MB	1988-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1988/namss.B-27-88-MI.mcs.airgun.zip											Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1988-01-31	1988-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-III	digital	31.08960	3569.20800						1			Hydrophone_Streamer							14.93520	18		345.64320	SeismicSource_Gun_Air	1700.00000	Cubic Inches		Gulf Seal	Unspecified	SEGP1	undocumented	WGS84	-75.13279	35.22513	27.42201	-80.74238	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2000-01-25	open	https://walrus.wr.usgs.gov/namss/survey/b-28-75-at/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-28-75-AT.mcs.airgun.zip					dataset	Unspecified		Unspecified	1.9 GB	1975-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1975/namss.B-28-75-AT.mcs.airgun.zip										Blake Plateau	Migration:Depth, Migration, Other, Stack	Seismic:Reflection, Seismic:Velocity	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1975-01-31	1975-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
